duplicate_policy,n_rows_after_policy,model_name,random_state,accuracy_mean,accuracy_std,balanced_accuracy_mean,f1_macro_mean,f1_macro_std
keep_all_rows,3200,decision_tree_raw_depth5,42,0.9974999999999999,0.002119478119726637,0.9922965456004729,0.9881476544892868,0.009749849223395628
keep_all_rows,3200,decision_tree_balanced_depth8,42,0.9974999999999999,0.0015934435979977374,0.9956911622791559,0.9881451244143203,0.006748443435582274
keep_all_rows,3200,hgb_fast,42,0.9956250000000001,0.003336586953759784,0.9868498656523578,0.983545502224979,0.010431049834589956
keep_all_rows,3200,extra_trees_fast,42,0.97875,0.0028980057798423985,0.8619361497753847,0.9051974658253492,0.017372537943855633
drop_exact_feature_target_duplicates_keep_first,3143,decision_tree_balanced_depth8,42,0.9961823944589024,0.0012708494851096125,0.9952087685565425,0.9846515085655717,0.0018020741192043871
drop_exact_feature_target_duplicates_keep_first,3143,hgb_fast,42,0.9955454517837433,0.002546634561837618,0.9915052689686297,0.98447791518148,0.01183289776396175
drop_exact_feature_target_duplicates_keep_first,3143,decision_tree_raw_depth5,42,0.9958618978663939,0.003714503882793712,0.9915052689686297,0.9838100742521941,0.01133899310575891
drop_exact_feature_target_duplicates_keep_first,3143,extra_trees_fast,42,0.9790026632102317,0.006147258507773318,0.8678312821367481,0.9105945212541144,0.029080054332138686
drop_feature_duplicates_keep_first,3143,decision_tree_balanced_depth8,42,0.9961823944589024,0.0012708494851096125,0.9952087685565425,0.9846515085655717,0.0018020741192043871
drop_feature_duplicates_keep_first,3143,hgb_fast,42,0.9955454517837433,0.002546634561837618,0.9915052689686297,0.98447791518148,0.01183289776396175
drop_feature_duplicates_keep_first,3143,decision_tree_raw_depth5,42,0.9958618978663939,0.003714503882793712,0.9915052689686297,0.9838100742521941,0.01133899310575891
drop_feature_duplicates_keep_first,3143,extra_trees_fast,42,0.9790026632102317,0.006147258507773318,0.8678312821367481,0.9105945212541144,0.029080054332138686
feature_duplicates_majority_target,3143,decision_tree_balanced_depth8,42,0.9974552671817566,0.0023797038429131975,0.9956753772543246,0.9883136678822917,0.010350024228053326
feature_duplicates_majority_target,3143,decision_tree_raw_depth5,42,0.9968188308203295,0.0026611955730059165,0.9884629016207963,0.9843987862368829,0.012808372239984394
feature_duplicates_majority_target,3143,hgb_fast,42,0.9955454517837431,0.002916741798540135,0.9846876320560531,0.9791968542496182,0.013397926149594851
feature_duplicates_majority_target,3143,extra_trees_fast,42,0.9767738701609066,0.006864133119105852,0.8526036341825816,0.894599900235691,0.03442132976287277
