model_name,true_label,pred_label,count
lightgbm_simple_fe,class1,class1,93
lightgbm_simple_fe,class1,class2,0
lightgbm_simple_fe,class1,class3,0
lightgbm_simple_fe,class2,class1,0
lightgbm_simple_fe,class2,class2,189
lightgbm_simple_fe,class2,class3,2
lightgbm_simple_fe,class3,class1,3
lightgbm_simple_fe,class3,class2,4
lightgbm_simple_fe,class3,class3,2909
lightgbm_original,class1,class1,93
lightgbm_original,class1,class2,0
lightgbm_original,class1,class3,0
lightgbm_original,class2,class1,0
lightgbm_original,class2,class2,188
lightgbm_original,class2,class3,3
lightgbm_original,class3,class1,2
lightgbm_original,class3,class2,5
lightgbm_original,class3,class3,2909
lightgbm_unweighted_original,class1,class1,93
lightgbm_unweighted_original,class1,class2,0
lightgbm_unweighted_original,class1,class3,0
lightgbm_unweighted_original,class2,class1,0
lightgbm_unweighted_original,class2,class2,189
lightgbm_unweighted_original,class2,class3,2
lightgbm_unweighted_original,class3,class1,2
lightgbm_unweighted_original,class3,class2,4
lightgbm_unweighted_original,class3,class3,2910
lightgbm_core4_unweighted,class1,class1,92
lightgbm_core4_unweighted,class1,class2,0
lightgbm_core4_unweighted,class1,class3,1
lightgbm_core4_unweighted,class2,class1,0
lightgbm_core4_unweighted,class2,class2,184
lightgbm_core4_unweighted,class2,class3,7
lightgbm_core4_unweighted,class3,class1,3
lightgbm_core4_unweighted,class3,class2,10
lightgbm_core4_unweighted,class3,class3,2903
random_forest_original,class1,class1,91
random_forest_original,class1,class2,2
random_forest_original,class1,class3,0
random_forest_original,class2,class1,0
random_forest_original,class2,class2,190
random_forest_original,class2,class3,1
random_forest_original,class3,class1,1
random_forest_original,class3,class2,6
random_forest_original,class3,class3,2909
decision_tree_raw_depth5,class1,class1,91
decision_tree_raw_depth5,class1,class2,0
decision_tree_raw_depth5,class1,class3,2
decision_tree_raw_depth5,class2,class1,0
decision_tree_raw_depth5,class2,class2,191
decision_tree_raw_depth5,class2,class3,0
decision_tree_raw_depth5,class3,class1,3
decision_tree_raw_depth5,class3,class2,3
decision_tree_raw_depth5,class3,class3,2910
bagging_tree_original,class1,class1,93
bagging_tree_original,class1,class2,0
bagging_tree_original,class1,class3,0
bagging_tree_original,class2,class1,0
bagging_tree_original,class2,class2,191
bagging_tree_original,class2,class3,0
bagging_tree_original,class3,class1,3
bagging_tree_original,class3,class2,6
bagging_tree_original,class3,class3,2907
extra_trees_original,class1,class1,78
extra_trees_original,class1,class2,8
extra_trees_original,class1,class3,7
extra_trees_original,class2,class1,3
extra_trees_original,class2,class2,133
extra_trees_original,class2,class3,55
extra_trees_original,class3,class1,1
extra_trees_original,class3,class2,1
extra_trees_original,class3,class3,2914
lightgbm_eda_fe,class1,class1,93
lightgbm_eda_fe,class1,class2,0
lightgbm_eda_fe,class1,class3,0
lightgbm_eda_fe,class2,class1,0
lightgbm_eda_fe,class2,class2,190
lightgbm_eda_fe,class2,class3,1
lightgbm_eda_fe,class3,class1,3
lightgbm_eda_fe,class3,class2,7
lightgbm_eda_fe,class3,class3,2906
hgb_eda_fe,class1,class1,91
hgb_eda_fe,class1,class2,1
hgb_eda_fe,class1,class3,1
hgb_eda_fe,class2,class1,0
hgb_eda_fe,class2,class2,188
hgb_eda_fe,class2,class3,3
hgb_eda_fe,class3,class1,2
hgb_eda_fe,class3,class2,6
hgb_eda_fe,class3,class3,2908
hgb_original,class1,class1,92
hgb_original,class1,class2,1
hgb_original,class1,class3,0
hgb_original,class2,class1,0
hgb_original,class2,class2,186
hgb_original,class2,class3,5
hgb_original,class3,class1,2
hgb_original,class3,class2,6
hgb_original,class3,class3,2908
hgb_simple_fe,class1,class1,91
hgb_simple_fe,class1,class2,1
hgb_simple_fe,class1,class3,1
hgb_simple_fe,class2,class1,0
hgb_simple_fe,class2,class2,188
hgb_simple_fe,class2,class3,3
hgb_simple_fe,class3,class1,2
hgb_simple_fe,class3,class2,4
hgb_simple_fe,class3,class3,2910
xgboost_simple_fe,class1,class1,90
xgboost_simple_fe,class1,class2,3
xgboost_simple_fe,class1,class3,0
xgboost_simple_fe,class2,class1,1
xgboost_simple_fe,class2,class2,187
xgboost_simple_fe,class2,class3,3
xgboost_simple_fe,class3,class1,2
xgboost_simple_fe,class3,class2,5
xgboost_simple_fe,class3,class3,2909
gradient_boosting_fe,class1,class1,93
gradient_boosting_fe,class1,class2,0
gradient_boosting_fe,class1,class3,0
gradient_boosting_fe,class2,class1,0
gradient_boosting_fe,class2,class2,190
gradient_boosting_fe,class2,class3,1
gradient_boosting_fe,class3,class1,2
gradient_boosting_fe,class3,class2,9
gradient_boosting_fe,class3,class3,2905
